strike_price,call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,put_mark,put_oi,put_volume,put_gamma,put_delta,put_vega,timestamp_IST,Expiry,max_pain
89200.0,0.45180568,11784.0,3.943,7e-07,0.00058776,0.04799633,10201.65178537,0.0,,7e-07,-0.9994171,0.04762259,09:54,01-02-2026,1583534
89600.0,0.36179425,1675.0,4.952999999999999,5.6e-07,0.00047048,0.03906497,10601.56177747,0.0,0.002,5.6e-07,-0.99953398,0.03871555,09:54,01-02-2026,1699435
90000.0,0.14558937,155833.0,165.74400000000003,2.7e-07,0.0002089,0.0183504,11001.2,32.0,1.417,0.0,-1.0,0.0,09:54,01-02-2026,1815402
90400.0,0.3144102,168516.0,227.58300000000008,4.5e-07,0.00038718,0.03260035,,,,,,,09:54,01-02-2026,1937572
3772.60410661,6.0,0.559,1.288e-05,0.9925871,0.47107726,75200.0,1.346e-05,-0.00786947,0.49654792,478.9809999999998,266157.0,3.99220171,01-02-2026,10:04,198192
3373.96093928,257.0,0.393,1.759e-05,0.99026121,0.59855252,75600.0,1.946e-05,-0.0112223,0.67726535,484.8920000000005,223625.0,5.59349382,01-02-2026,10:04,154771
2975.94249652,60.0,2.3959999999999995,2.672e-05,0.98528393,0.85619434,76000.0,2.044e-05,-0.0100089,0.61303741,278.0250000000002,143391.0,4.18766948,01-02-2026,10:04,120371
2776.11085571,0.0,0.1,2.842e-05,0.98546034,0.8473734,76200.0,1.871e-05,-0.00801186,0.50442648,17.035999999999998,4950.0,3.51272351,01-02-2026,10:04,106018
2577.75751498,60.0,7.7189999999999985,3.388e-05,0.98317313,0.96052065,76400.0,2.744e-05,-0.01232206,0.73450477,311.26899999999983,15518.0,4.66326842,01-02-2026,10:04,91803
2379.5177315,60.0,1.1380000000000003,4.301e-05,0.97859543,1.17860603,76600.0,3.425e-05,-0.01511759,0.87624418,72.02799999999999,28794.0,5.92556863,01-02-2026,10:04,77910
2180.20394877,110.0,3.1609999999999987,4.575e-05,0.97949569,1.13656688,76800.0,4.521e-05,-0.02012731,1.11882756,268.92800000000005,40990.0,7.94854751,01-02-2026,10:04,64583
1984.06247349,740.0,12.592999999999996,6.994e-05,0.96509626,1.77185972,77000.0,6.058e-05,-0.02744125,1.45207116,237.27700000000013,147788.0,11.03834637,01-02-2026,10:04,52073
1787.77038813,81.0,19.463,8.202e-05,0.96163974,1.91423729,77200.0,8.055e-05,-0.03713879,1.86433837,151.142,36280.0,15.17246089,01-02-2026,10:04,42525
1594.19991783,205.0,21.78,0.00011275,0.94384632,2.59885699,77400.0,0.00010985,-0.05288998,2.47865919,66.73800000000003,13930.0,21.64895962,01-02-2026,10:04,33680
1404.4251103,325.0,32.30799999999999,0.00014767,0.92423636,3.27858226,77600.0,0.00014494,-0.07267088,3.17574532,165.3930000000003,9981.0,30.9903688,01-02-2026,10:04,25161
1217.90148814,353.0,29.662999999999982,0.00019231,0.89501703,4.17873116,77800.0,0.00019108,-0.10153348,4.07858394,152.30200000000002,25686.0,44.67168497,01-02-2026,10:04,16860
1037.96258427,1520.0,87.28800000000004,0.00024536,0.85682092,5.19389982,78000.0,0.00024611,-0.16481347,5.70082503,411.2980000000003,247025.0,88.11755135,01-02-2026,10:04,8994
866.18527275,980.0,47.11300000000005,0.00030454,0.80677265,6.30160783,78200.0,0.00030569,-0.19019738,6.24064421,140.80400000000023,55901.0,93.47546836,01-02-2026,10:04,4151
708.127874,5538.0,107.07800000000012,0.00036487,0.74358126,7.40148709,78400.0,0.00036794,-0.25513599,7.3822971,1176.1659999999856,22999.0,133.86920846,01-02-2026,10:04,2027
562.64419063,10726.0,92.87299999999996,0.00041856,0.66742271,8.34890061,78600.0,0.00042184,-0.33110505,8.33418765,59.443000000000055,8957.0,188.69409252,01-02-2026,10:04,996
433.41194311,13969.0,98.35500000000005,0.00045609,0.58123567,8.9783376,78800.0,0.00046069,-0.42012985,8.9843745,766.7919999999967,18451.0,260.2658039,01-02-2026,10:04,709
324.25376641,17461.0,174.92199999999988,0.00047029,0.48704263,9.16426552,79000.0,0.00047498,-0.51194062,9.16459879,123.88500000000008,10199.0,350.37460332,01-02-2026,10:04,761
232.82751103,10565.0,119.142,0.00046076,0.39405547,8.84384249,79200.0,0.00046322,-0.60671665,8.83885613,591.0589999999979,2827.0,458.45009898,01-02-2026,10:04,1450
161.49244945,16708.0,80.74400000000003,0.00042112,0.30546476,8.05609882,79400.0,0.00042516,-0.69726791,8.02353968,17.689999999999998,2050.0,587.21168704,01-02-2026,10:04,2314
107.20859859,71832.0,136.46300000000005,0.00036383,0.22491757,6.89132061,79600.0,0.00036508,-0.7807597,6.79162569,674.450999999999,1774.0,733.51433273,01-02-2026,10:04,3586
69.24867292,22597.0,79.98600000000002,0.0002948,0.15979996,5.58746605,79800.0,0.00029313,-0.84535437,5.46819816,7.1229999999999976,79.0,896.27900431,01-02-2026,10:04,6821
43.53188884,158965.0,578.1989999999992,0.00022502,0.10845336,4.27779671,80000.0,0.0002214,-0.8977663,4.09899041,1015.9429999999932,1912.0,1069.55735522,01-02-2026,10:04,10019
26.7250236,36288.0,87.47699999999996,0.00016332,0.07091654,3.11684436,80200.0,0.00016095,-0.93173155,3.02690643,66.34500000000004,712.0,1252.75904741,01-02-2026,10:04,16772
16.26942932,29716.0,139.10800000000006,0.00011508,0.04623433,2.226363,80400.0,0.0001042,-0.96172781,1.91056728,406.9900000000009,190.0,1441.81829843,01-02-2026,10:04,23786
10.48767317,25981.0,140.47699999999998,7.963e-05,0.03016946,1.57110425,80600.0,6.74e-05,-0.97704379,1.25036981,30.139000000000003,101.0,1635.88812953,01-02-2026,10:04,31411
6.98011163,14004.0,112.655,5.525e-05,0.02013997,1.11940092,80800.0,4.647e-05,-0.98451614,0.89442475,237.52100000000047,404.0,1832.36480243,01-02-2026,10:04,39548
4.88551033,87215.0,658.7769999999994,3.956e-05,0.01419701,0.83014954,81000.0,1.05e-05,-0.99761219,0.171108,941.9199999999894,2257.0,2029.69122451,01-02-2026,10:04,47898
3.27637403,28470.0,172.35499999999996,2.752e-05,0.00965547,0.59407582,81200.0,0.0,-1.0,0.0,119.83000000000013,1315.0,2229.50000225,01-02-2026,10:04,57686
2.65012995,52178.0,202.4980000000004,2.156e-05,0.00772131,0.48830756,81400.0,0.0,-1.0,0.0,104.03800000000004,244.0,2429.6,01-02-2026,10:04,68201
2.30900011,23744.0,243.46400000000008,1.743e-05,0.00642801,0.41535114,81600.0,0.0,-1.0,0.0,69.72699999999998,499.0,2629.6,01-02-2026,10:04,80003
1.38523348,37219.0,170.1040000000001,1.138e-05,0.00402496,0.27379316,81800.0,0.0,-1.0,0.0,103.73300000000044,5465.0,2829.6,01-02-2026,10:04,92210
1.93748047,133352.0,714.1540000000002,1.184e-05,0.00462978,0.31030108,82000.0,0.0,-1.0,0.0,234.6070000000004,1074.0,3029.60000001,01-02-2026,10:04,103854
1.84699181,4682.0,120.17099999999996,1.111e-05,0.0046158,0.30945407,82200.0,0.0,-1.0,0.0,45.41100000000004,322.0,3229.6,01-02-2026,10:04,119429
1.63584591,35622.0,210.07400000000007,9.35e-06,0.00398493,0.27135459,82400.0,0.0,-1.0,0.0,93.64900000000006,273.0,3429.5,01-02-2026,10:04,135301
5.15569967,96928.0,532.0349999999999,1.72e-05,0.00973558,0.59836844,82600.0,0.0,-1.0,0.0,97.89999999999996,151.0,3629.6,01-02-2026,10:04,151906
0.70671775,64329.0,407.464,4.52e-06,0.00181074,0.1331225,82800.0,0.0,-1.0,0.0,85.58900000000008,324.0,3829.5,01-02-2026,10:04,170535
2.03611345,288199.0,1023.145999999999,8.28e-06,0.00416734,0.28245195,83000.0,0.0,-1.0,0.0,181.3220000000001,785.0,4029.6,01-02-2026,10:04,190343
0.58116211,31924.0,238.9650000000001,3.36e-06,0.00141343,0.10622392,83200.0,0.0,-1.0,0.0,64.60500000000002,4071.0,4229.5,01-02-2026,10:04,215792
0.68271707,40214.0,290.8299999999986,3.49e-06,0.00156823,0.11678647,83400.0,0.0,-1.0,0.0,24.428,113.0,4429.5,01-02-2026,10:04,240499
0.57331288,16768.0,353.4070000000004,2.89e-06,0.0013087,0.09900738,83600.0,0.0,-1.0,0.0,27.945,435.0,4629.6,01-02-2026,10:04,267685
1.69551468,194550.0,334.0980000000002,5.6e-06,0.00315981,0.22033471,83800.0,0.0,-1.0,0.0,17.104,300.0,4829.6,01-02-2026,10:04,295062
1.54154589,246820.0,1322.6399999999967,4.95e-06,0.00283398,0.19974761,84000.0,0.0,-1.0,0.0,73.12700000000001,432.0,5029.6,01-02-2026,10:04,326424
0.83240837,29151.0,301.74999999999994,3.07e-06,0.00163283,0.12116287,84200.0,0.0,-1.0,0.0,7.139999999999996,58.0,5229.6,01-02-2026,10:04,362665
0.62607339,49450.0,232.36999999999992,2.37e-06,0.00124051,0.09427849,84400.0,0.0,-1.0,0.0,12.654000000000002,21.0,5429.6,01-02-2026,10:04,399640
0.62551331,52931.0,254.313,2.24e-06,0.0012052,0.0918159,84600.0,0.0,-1.0,0.0,3.269,0.0,5629.6,01-02-2026,10:04,437625
1.23956486,121025.0,255.27700000000004,3.4e-06,0.00211058,0.15300533,84800.0,0.0,-1.0,0.0,2.073,10.0,5829.5,01-02-2026,10:04,476680
0.72535656,147675.0,679.8739999999993,2.23e-06,0.00129888,0.09832647,85000.0,0.0,-1.0,0.0,5.273,21.0,6029.6,01-02-2026,10:04,518162
0.5181673,33022.0,71.374,1.67e-06,0.00094931,0.07377017,85200.0,0.0,-1.0,0.0,1.282,0.0,6229.5,01-02-2026,10:04,562586
0.41458661,25238.0,55.206,1.35e-06,0.00076361,0.0603841,85400.0,0.0,-1.0,0.0,0.032,0.0,6429.5,01-02-2026,10:04,607674
